freq;nrg_bal;siec;unit;geo\TIME_PERIOD;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
A;FC_E;C0000X0350-0370;KTOE;FI;249.200;237.200;241.338;182.718;221.163;211.878;105.720;106.229;104.011;108.868;138.803;135.634
A;FC_E;C0350-0370;KTOE;FI;137.707;131.759;114.933;85.736;165.738;134.293;118.778;117.068;120.529;134.991;144.473;122.148
A;FC_E;E7000;KTOE;FI;7397.506;7401.720;7098.710;6628.117;7179.708;6888.048;6940.585;6874.205;6805.245;6747.034;6950.215;6968.100
A;FC_E;G3000;KTOE;FI;883.641;901.612;826.397;705.911;791.853;750.301;701.892;704.428;670.765;614.854;595.292;633.491
A;FC_E;H8000;KTOE;FI;4106.597;4030.023;4000.000;4066.447;4554.194;4061.694;4292.252;4075.499;3982.708;3830.491;4113.691;4019.299
A;FC_E;N900H;KTOE;FI;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z
A;FC_E;O4000XBIO;KTOE;FI;7370.981;7443.808;6965.661;6571.528;6940.865;6628.094;6557.680;6450.571;6029.453;5957.859;6373.005;6138.351
A;FC_E;P1000;KTOE;FI;328.022;337.848;321.005;260.838;307.485;285.935;254.813;223.063;239.227;224.197;210.797;204.238
A;FC_E;RA000;KTOE;FI;4730.868;4767.054;4774.393;4314.954;4894.887;4779.506;4964.105;4963.276;5413.210;5385.196;5413.802;6364.516
A;FC_E;S2000;KTOE;FI;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;TOTAL;KTOE;FI;25234.020;25276.628;24372.890;22844.480;25091.360;23761.531;23975.688;23567.053;23420.584;23052.168;23991.215;24639.947
A;FC_E;W6100_6220;KTOE;FI;29.497;25.604;30.453;28.232;35.469;21.783;39.863;52.713;55.436;48.677;51.137;54.170
A;FC_E;C0000X0350-0370;KTOE;FR;1926.555;2134.446;2032.746;1625.800;1752.221;1230.103;1355.951;1164.000;1080.825;1130.108;1093.684;1143.166
A;FC_E;C0350-0370;KTOE;FR;0;0;0;0;0;0;191;0;0;0;0;0
A;FC_E;E7000;KTOE;FR;36708.942;36630.696;37208.598;35937.661;38184.781;36366.035;37912.198;38538.390;36337.089;37181.682;37786.591;37563.452
A;FC_E;G3000;KTOE;FR;32447.442;30874.785;31883.921;30030.825;32006.105;28434.525;30416.291;31835.634;26816.530;27729.216;29102.556;28671.334
A;FC_E;H8000;KTOE;FR;3911.078;3333.727;3638.878;3197.301;2849.571;2849.695;2966.877;2993.196;2849.438;2924.821;3343.876;3673.494
A;FC_E;N900H;KTOE;FR;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z
A;FC_E;O4000XBIO;KTOE;FR;64346.970;61699.787;60853.460;59482.652;58431.918;58143.222;57558.094;57235.464;55503.863;55982.434;55025.853;54969.983
A;FC_E;P1000;KTOE;FR;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;RA000;KTOE;FR;8707.999;9489.847;10997.764;11780.559;12948.238;11404.079;13202.997;14315.986;12869.046;13656.770;14746.978;14867.082
A;FC_E;S2000;KTOE;FR;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;TOTAL;KTOE;FR;148104.159;144262.462;146730.638;142213.649;146311.469;138582.354;143561.684;146209.102;135568.832;138700.012;141229.914;141002.846
A;FC_E;W6100_6220;KTOE;FR;55.173;99.172;115.271;158.850;138.635;154.694;149.084;126.431;112.042;94.981;130.375;114.334
A;FC_E;C0000X0350-0370;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;314.634;290.462;271.769;250.280;276.057
A;FC_E;C0350-0370;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;0;0;0;0;0
A;FC_E;E7000;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;780.224;841.445;851.763;901.720;963.758
A;FC_E;G3000;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;763.715;1061.522;1136.672;1155.052;1238.816
A;FC_E;H8000;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;0;0;0;0;0
A;FC_E;N900H;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;: z;: z;: z;: z;: z
A;FC_E;O4000XBIO;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;895.268;952.145;1091.430;1317.569;1184.224
A;FC_E;P1000;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;0;0;0;0;0
A;FC_E;RA000;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;494.650;479.913;414.708;404.748;382.072
A;FC_E;S2000;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;0;0;0;0;0
A;FC_E;TOTAL;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;3248.490;3625.486;3766.343;4029.368;4044.927
A;FC_E;W6100_6220;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;0;0;0;0;0
A;FC_E;C0000X0350-0370;KTOE;HR;133.199;151.681;158.165;130.295;150.809;144.499;129.494;116.000;102.552;81.382;66.927;76.171
